cik,company,event_date,event_year,sic,sic_division,resolved,ticker,provenance,reason_code,exclusion_family,n_bankruptcy_events,is_chapter_22,subsequent_event_dates,xbrl_instances_seen,has_xbrl_fundamentals,public_float_usd,listing_start,listing_end,notes,size_decile
0000030419,R H DONNELLEY CORP  (CIK 0000030419),2010-01-15,2010,7310,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,True,46034327.0,,,DEXO rejected: not in listing table | DEXOQ rejected: not in listing table | RHDC rejected: not in listing table,6
0000051939,CORUS BANKSHARES INC  (CIK 0000051939),2010-06-15,2010,6021,"Finance, Insurance, Real Estate",False,,,NO_XBRL_INSTANCE,data_unavailability,2,True,2011-10-28,0,False,,,,no candidate symbols found,
0000310316,CANARGO ENERGY CORP  (CIK 0000310316),2010-01-14,2010,1311,Mining,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,False,,,,"CNR rejected: listing starts 2017-11-14, after event 2010-01-14 | CNRQ rejected: not in listing table | GUSH rejected: not in listing table",
0000714756,AMCORE FINANCIAL INC  (CIK 0000714756),2010-08-20,2010,6021,"Finance, Insurance, Real Estate",False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,AMFI rejected: not in listing table | AMFIQ rejected: not in listing table,
0000810332,MESA AIR GROUP INC  (MESA)  (CIK 0000810332),2010-01-06,2010,4512,Transport & Utilities,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,2,True,2011-03-03,0,True,32914217.0,,,"RJET rejected: listing starts 2018-08-10, after event 2010-01-06 | RJETQ rejected: listing starts 2016-01-04, after event 2010-01-06 | MESA rejected: listing starts 2026-02-06, after event 2010-01-06",5
0000874501,AMBAC FINANCIAL GROUP INC  (AMBC)  (CIK 0000874501),2010-11-10,2010,6351,"Finance, Insurance, Real Estate",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,2,True,313633817.0,,,"OSG rejected: listing starts 2015-12-01, after event 2010-11-10 | OSGQ rejected: not in listing table | AMBC rejected: not in listing table",9
0000899647,RIVIERA HOLDINGS CORP  (CIK 0000899647),2010-07-14,2010,7011,Services,False,,,NO_COMMON_EQUITY,model_inapplicability,1,False,,0,True,,,,"XBRL present but no common shares outstanding reported: limited partnership, trust, or special-purpose entity -- not a Merton object",
0000920317,US DRY CLEANING CORP  (CIK 0000920317),2010-03-05,2010,7200,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,2,True,2011-09-29,0,False,,,,FVCX rejected: not in listing table | FVCXQ rejected: not in listing table,
0000928800,KH FUNDING CO  (CIK 0000928800),2010-12-06,2010,6162,"Finance, Insurance, Real Estate",False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001016900,PNG VENTURES INC  (CIK 0001016900),2010-03-17,2010,1311,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,True,,,,PNGXQ rejected: not in listing table | PNGX rejected: not in listing table | AGAS rejected: not in listing table,
0001050112,ANTHRACITE CAPITAL INC  (CIK 0001050112),2010-03-15,2010,6798,"Finance, Insurance, Real Estate",False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,0,False,,,,"AHR rejected: listing starts 2024-02-07, after event 2010-03-15 | AHRQ rejected: not in listing table",
0001070510,SARS CORP.  (CIK 0001070510),2010-04-27,2010,7372,Services,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001085734,BLOCKBUSTER INC  (CIK 0001085734),2010-09-24,2010,7841,Services,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,BBI rejected: not in listing table | BBIQ rejected: not in listing table,
0001095751,"SKYE INTERNATIONAL, INC  (CIK 0001095751)",2010-09-09,2010,5500,Retail Trade,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001111335,VISTEON CORP  (VC)  (CIK 0001111335),2010-09-07,2010,3714,Manufacturing,False,,,LISTING_EXCLUDES_EVENT,data_unavailability,1,False,,2,True,2500000000.0,,,"VC rejected: listing starts 2010-10-05, after event 2010-09-07 | VCQ rejected: not in listing table | VSTN rejected: not in listing table",10
0001122887,JAVA DETOUR INC.  (CIK 0001122887),2010-09-10,2010,5400,Retail Trade,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,JVDT rejected: not in listing table | JVDTQ rejected: not in listing table,
0001137469,"NOVA BIOSOURCE FUELS, INC.  (CIK 0001137469)",2010-04-14,2010,2911,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,NVBF rejected: not in listing table | NVBFQ rejected: not in listing table,
0001161924,"MiddleBrook Pharmaceuticals, Inc.  (CIK 0001161924)",2010-05-04,2010,2834,Manufacturing,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,MBRK rejected: not in listing table | MBRKQ rejected: not in listing table,
0001180743,"CERAGENIX PHARMACEUTICALS, INC.  (CIK 0001180743)",2010-06-03,2010,3841,Manufacturing,False,,,NO_XBRL_INSTANCE,data_unavailability,1,False,,0,False,,,,no candidate symbols found,
0001269022,ATOMIC PAINTBALL INC  (CIK 0001269022),2010-01-14,2010,7900,Services,True,ATOC,filing_text,RESOLVED_FILING_TEXT,resolved,1,False,,0,True,1411921.0,2008-11-07,2017-11-01,ATOCQ rejected: not in listing table,1
0001296595,CROSS CANYON ENERGY CORP.  (CIK 0001296595),2010-03-23,2010,1311,Mining,False,,,SYMBOL_NOT_LISTED,data_unavailability,1,False,,0,False,,,,CCYE rejected: not in listing table | CCYEQ rejected: not in listing table,
